tag,zh
1:1,1:1 画幅
16:9,16:9 画幅
2:3,2:3 画幅
2d_animation,2D 动画
3:4,3:4 画幅
3_toes,三趾
3d_(artwork),3D 作品
3d_animation,3D 动画
4:3,4:3 画幅
4:5,4:5 画幅
4_fingers,四指
4_toes,四趾
5_fingers,五指
5_toes,五趾
abdominal_bulge,腹部隆起
absurd_res,超高分辨率
accessory,配饰
alpha_channel,含透明通道
animal_genitalia,动物生殖器
animal_humanoid,动物类人
animal_vulva,动物阴部
anthro_on_anthro,兽人与兽人
anthro_penetrated,兽人被插入
anthro_penetrating,兽人插入方
anthro_penetrating_anthro,兽人插入兽人
anthrofied,兽人化
aquatic,水生
areola,乳晕
armwear,臂部服饰
ass_up,臀部抬起
athletic,健美体型
avian,鸟类
backsack,后侧阴囊
bdsm,BDSM
bedroom_eyes,媚眼
big_muscles,大块肌肉
big_nipples,大乳头
biped,双足
black_body,黑色身体
black_clothing,黑色服装
blue_body,蓝色身体
blue_clothing,蓝色服装
blush_lines,脸红线条
bodily_fluids,体液
bottomwear,下装
bovid,牛科
bovine,牛亚科
breast_play,胸部玩弄
breast_squish,胸部挤压
brown_body,棕色身体
buckteeth,门牙外突
butt_grab,抓臀
canid,犬科
canine,犬类
canine_genitalia,犬类生殖器
canis,犬属
caprine,羊亚科
cheek_tuft,面颊绒毛
clothed,穿着衣物
clothed_anthro,着装兽人
clothed_female,着装雌性
clothing,服装
colored,已上色
conditional_dnp,有条件禁止转载
countershade_torso,躯干腹背异色
countershading,腹背异色
cum_in_vagina,阴道内射
curvy_figure,丰满身材
detailed_background,精细背景
digimon_(species),数码宝贝（物种）
digital_drawing_(artwork),数字手绘
digital_media_(artwork),数字绘画
dipstick_tail,尾尖异色
domestic_cat,家猫
domestic_dog,家犬
dominant,支配
dominant_female,支配雌性
dominant_male,支配雄性
duo,双人
ear_markings,耳部花纹
earth_pony,陆马
eeveelution,伊布进化系
electronics,电子设备
equid,马科
equine,马类
equine_genitalia,马类生殖器
equine_penis,马类阴茎
eulipotyphlan,真盲缺目
european_mythology,欧洲神话
eyewear,眼镜
faceless_character,无脸角色
facial_piercing,面部穿孔
facial_tuft,面部绒毛
fan_character,同人原创角色
felid,猫科
feline,猫类
felis,猫属
female,雌性
female/female,女女配对
female_anthro,雌性兽人
female_focus,以雌性为主
female_on_human,雌性与人类
female_penetrated,雌性被插入
feral,野生形态
feral_on_feral,野生形态之间
feral_penetrated,野生形态被插入
feral_penetrating,野生形态插入方
fingers,手指
first_person_view,第一人称视角
foot_fetish,足部恋物
footwear,鞋履
friendship_is_magic,小马宝莉：友谊就是魔法
from_front_position,正面体位
front_view,正视角
full-length_portrait,全身构图
fully_clothed,全套着装
furgonomics,兽装人体工学
furniture,家具
generation_1_pokemon,第一世代宝可梦
generation_2_pokemon,第二世代宝可梦
generation_3_pokemon,第三世代宝可梦
generation_4_pokemon,第四世代宝可梦
generation_5_pokemon,第五世代宝可梦
generation_6_pokemon,第六世代宝可梦
generation_7_pokemon,第七世代宝可梦
genital_fluids,生殖器体液
genitals,生殖器
glistening,有光泽
glistening_body,身体有光泽
gloves_(marking),手套状花纹
green_body,绿色身体
grey_body,灰色身体
gynomorph,女性双性
hair,头发
hand_on_butt,手放在臀部
hands-free,不用手
handwear,手部服饰
head_markings,头部花纹
head_tuft,头部绒毛
heart_symbol,心形符号
hi_res,高分辨率
hindpaw,后爪
holidays,节日
